OPEID6,Institution,City,County,Region,Predominant Award,Sector,Undergraduate Degree-seeking students,ZIP,Latitude,Longitude,Median Earnings 10 Years After Enrollment,Annual Net Price
12907,Lake Tahoe Community College,South Lake Tahoe,El Dorado,Sacramento-Tahoe,Associate's,Public,2909,96150,38.926797,-119.972574,36657,10975
12912,MTI College,Sacramento,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,1025,95841-9817,38.661377,-121.342568,45328,20336
12984,Professional Institute of Beauty,El Monte,Los Angeles,Los Angeles,Certificate,Private for-profit,90,91731,34.075561,-118.039028,16886,13152
13010,Lancaster Beauty School,Lancaster,Los Angeles,Los Angeles,Certificate,Private for-profit,131,93534,34.694914,-118.147547,16220,21235
13074,American Beauty College,West Covina,Los Angeles,Los Angeles,Certificate,Private for-profit,250,91790,34.069367,-117.936959,22481,24076
13095,Salon Success Academy-Corona,Corona,Riverside,Inland Empire,Certificate,Private for-profit,216,92881,33.847649,-117.535638,22412,12983
13095,Salon Success Academy-Redlands,Redlands,San Bernardino,Inland Empire,Certificate,Private for-profit,259,92373,34.062342,-117.218933,22412,14662
13095,Salon Success Academy-Fontana,Fontana,San Bernardino,Inland Empire,Certificate,Private for-profit,34,92335,34.099087,-117.437904,22412,10813
13240,Lytles Redwood Empire Beauty College,Santa Rosa,Sonoma,Bay Area,Certificate,Private for-profit,114,95403,38.508385,-122.75777,20358,24603
20635,Coastline Community College,Fountain Valley,Orange,Orange,Associate's,Public,7007,92708-2597,33.716054,-117.928979,44483,9605
20643,Sierra College of Beauty,Merced,Merced,San Joaquin Valley,Certificate,Private for-profit,245,95340,37.306975,-120.495874,18519,11519
20657,California Beauty School,Modesto,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,73,95354,37.645371,-120.997481,22255,11547
21005,Universal Technical Institute of Northern California Inc,Sacramento,Sacramento,Sacramento-Tahoe,Associate's,Private for-profit,1107,95834,38.64575,-121.529503,48341,26671
21113,Cuyamaca College,El Cajon,San Diego,San Diego,Associate's,Public,6788,92019,32.744305,-116.942854,32435,6187
21191,Mission College,Santa Clara,Santa Clara,Bay Area,Associate's,Public,5557,95054-1897,37.391935,-121.980783,50936,5198
21207,San Joaquin Valley College-Santa Maria,Santa Maria,Santa Barbara,Central Coast,Certificate,Private for-profit,163,93454-6921,34.937806,-120.433296,38317,20549
21207,San Joaquin Valley College-Delano,Delano,Kern,San Joaquin Valley,Certificate,Private for-profit,83,93215-9691,35.774826,-119.229077,38317,20843
21207,San Joaquin Valley College-Fresno,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,481,93710-3616,36.829907,-119.784003,38317,23045
21207,San Joaquin Valley College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,820,93309-2659,35.352848,-119.062071,38317,23393
21207,San Joaquin Valley College-Porterville,Porterville,Tulare,San Joaquin Valley,Certificate,Private for-profit,98,93257-3730,36.071598,-119.01576,38317,23531
21207,San Joaquin Valley College-Trades Education Center,Fresno,Fresno,San Joaquin Valley,Certificate,Private for-profit,292,93727-1501,36.776798,-119.72824,38317,24093
21207,San Joaquin Valley College-Modesto,Salida,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,590,95368-9090,37.717403,-121.092991,38317,24617
21207,San Joaquin Valley College-Hesperia,Hesperia,San Bernardino,Inland Empire,Certificate,Private for-profit,437,92344-8086,34.420693,-117.383116,38317,23634
21207,San Joaquin Valley College-Lancaster,Lancaster,Los Angeles,Los Angeles,Certificate,Private for-profit,239,93534-7018,34.648563,-118.148431,38317,23940
21207,San Joaquin Valley College-Visalia,Visalia,Tulare,San Joaquin Valley,Certificate,Private for-profit,2270,93291-9283,36.328049,-119.384981,38317,29092
21207,San Joaquin Valley College-Temecula,Temecula,Riverside,Inland Empire,Certificate,Private for-profit,649,92590-5678,33.525983,-117.166502,38317,26652
21207,San Joaquin Valley College-Ontario,Ontario,San Bernardino,Inland Empire,Certificate,Private for-profit,1022,91764-5107,34.068584,-117.55038,38317,25595
21207,San Joaquin Valley College-Rancho Mirage,Rancho Mirage,Riverside,Inland Empire,Certificate,Private for-profit,242,92270-2701,33.798782,-116.390793,38317,24175
21207,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,Sacramento,Sacramento-Tahoe,Associate's,Private for-profit,226,95670-5642,38.595187,-121.28191,38317,27288
21250,Career Academy of Beauty,Garden Grove,Orange,Orange,Certificate,Private for-profit,207,92845,33.781018,-118.031697,24410,19101
21282,Bridges Beauty College,Victorville,San Bernardino,Inland Empire,Certificate,Private for-profit,80,92395-3821,34.528602,-117.303933,17287,20849
21283,Institute for Business and Technology,Santa Clara,Santa Clara,Bay Area,Certificate,Private for-profit,609,95051-1303,37.368642,-121.969541,38015,25471
21283,National Career Education,Citrus Heights,Sacramento,Sacramento-Tahoe,Certificate,Private for-profit,438,95610,38.679835,-121.273917,38015,24800
21618,Musicians Institute,Hollywood,Los Angeles,Los Angeles,Certificate,Private for-profit,735,90028,34.101265,-118.337582,32778,37793
21678,Estes Institute of Cosmetology Arts and Science,Visalia,Tulare,San Joaquin Valley,Certificate,Private for-profit,41,93291,36.330422,-119.289234,26965,12990
21858,Moler Barber College,Oakland,Alameda,Bay Area,Certificate,Private for-profit,335,94609-2419,37.827075,-122.265352,15204,22135
22110,Salon Success Academy-Riverside,Riverside,Riverside,Inland Empire,Certificate,Private for-profit,173,92506,33.943149,-117.391024,21777,13095
22171,Pima Medical Institute-Chula Vista,Chula Vista,San Diego,San Diego,Certificate,Private for-profit,675,91910,32.619858,-117.093388,38673,21925
22171,Pima Medical Institute-San Marcos,San Marcos,San Diego,San Diego,Certificate,Private for-profit,630,92078-8702,33.136906,-117.160199,38673,29950
22260,East Los Angeles College,Monterey Park,Los Angeles,Los Angeles,Associate's,Public,24401,91754-6099,34.040531,-118.148785,42006,9791
22309,Fredrick and Charles Beauty College,Eureka,Humboldt,North-Far North,Certificate,Private for-profit,67,95501,40.798885,-124.164986,21826,14402
22319,Gemological Institute of America-Carlsbad,Carlsbad,San Diego,San Diego,Certificate,Private non-profit,308,92008,33.131313,-117.318765,42588,31435
22364,Thanh Le College School of Cosmetology,Garden Grove,Orange,Orange,Certificate,Private for-profit,54,92840,33.789713,-117.908306,13265,21350
22418,American Career College-Anaheim,Anaheim,Orange,Orange,Certificate,Private for-profit,1643,92801-0000,33.849912,-117.975599,38430,27397
22418,American Career College-Los Angeles,Los Angeles,Los Angeles,Los Angeles,Certificate,Private for-profit,2066,90004,34.079323,-118.292481,38430,27508
22427,Berkeley City College,Berkeley,Alameda,Bay Area,Associate's,Public,4541,94704,37.869769,-122.269877,41217,8957
22482,Milan Institute of Cosmetology-Vacaville,Vacaville,Solano,Bay Area,Certificate,Private for-profit,234,95688,38.370051,-121.960688,22378,25234
22774,South Coast College,Orange,Orange,Orange,Certificate,Private for-profit,241,92868-2609,33.78818,-117.874031,44897,22480
23328,CET-Soledad,Soledad,Monterey,Central Coast,Certificate,Private non-profit,179,93960-2996,36.41456,-121.316599,32986,10377
23328,CET-Coachella,Coachella,Riverside,Inland Empire,Certificate,Private non-profit,84,92236,33.692248,-116.185875,32986,11202
23328,CET-El Centro,El Centro,Imperial,Imperial,Certificate,Private non-profit,167,92243,32.790908,-115.549079,32986,19211
23328,CET-Colton,Colton,San Bernardino,Inland Empire,Certificate,Private non-profit,191,92324,34.077381,-117.353488,32986,15800
23328,CET-Oxnard,Oxnard,Ventura,Central Coast,Certificate,Private non-profit,82,93030,34.194208,-119.18145,32986,9534
23328,CET-San Diego,San Diego,San Diego,San Diego,Certificate,Private non-profit,225,92102,32.711302,-117.105328,32986,19875
23328,CET-Salinas,Salinas,Monterey,Central Coast,Certificate,Private non-profit,187,93906,36.707333,-121.65236,32986,6804
23328,CET-Santa Maria,Santa Maria,Santa Barbara,Central Coast,Certificate,Private non-profit,125,93458,34.943576,-120.441978,32986,2869
23328,CET-Watsonville,Watsonville,Santa Cruz,Central Coast,Certificate,Private non-profit,149,95076,36.931833,-121.767991,32986,1532
23328,CET-San Jose,San Jose,Santa Clara,Bay Area,Certificate,Private non-profit,175,95110,37.322723,-121.88698,32986,15045
23385,North-West College-San Diego,San Diego,San Diego,San Diego,Associate's,Private for-profit,551,92115-1506,32.765537,-117.066577,41472,43043
23385,Glendale Career College,Glendale,Los Angeles,Los Angeles,Associate's,Private for-profit,854,91203,34.149771,-118.254719,41472,46212
23385,Glendale Career College-North-West College-Bakersfield,Bakersfield,Kern,San Joaquin Valley,Certificate,Private for-profit,387,93304-5075,35.339951,-119.035082,41472,49781
23434,Bellus Academy-Poway,Poway,San Diego,San Diego,Certificate,Private for-profit,369,92064,32.957184,-117.042531,25223,30336
24948,CRU Institute of Cosmetology and Barbering,Garden Grove,Orange,Orange,Certificate,Private for-profit,129,92845-4321,33.790145,-118.030758,20125,18165
24973,Milan Institute-Visalia,Visalia,Tulare,San Joaquin Valley,Certificate,Private for-profit,632,93277,36.27164,-119.312151,32493,28638
25204,Adrian's Beauty College of Turlock,Turlock,Stanislaus,San Joaquin Valley,Certificate,Private for-profit,71,95380,37.491448,-120.863784,18199,24393
25318,Paul Mitchell the School-San Diego,San Diego,San Diego,San Diego,Certificate,Private for-profit,250,92101,32.719128,-117.160838,26897,25671
25318,Paul Mitchell the School-Costa Mesa,Costa Mesa,Orange,Orange,Certificate,Private for-profit,347,92626,33.695103,-117.927468,26897,12063
25372,Palomar Institute of Cosmetology,San Marcos,San Diego,San Diego,Certificate,Private for-profit,173,92078,33.13663,-117.188351,23451,18176
25395,Irvine Valley College,Irvine,Orange,Orange,Associate's,Public,9577,92618-0301,33.675381,-117.777539,49156,1886
25423,National Holistic Institute,Emeryville,Alameda,Bay Area,Certificate,Private for-profit,1134,94608-2008,37.841898,-122.287672,27978,29199
25434,Brownson Technical School,Anaheim,Orange,Orange,Certificate,Private for-profit,284,92805,33.819032,-117.905774,68767,32584
