UNITID,OPEID6,Institution,City,County,Region,Sector,Predominant Award,COUNTYFIP,median_earnings_10yr,hs_median_income,Annual Net Price,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change
117195,12907,Lake Tahoe Community College,South Lake Tahoe,El Dorado,Sacramento-Tahoe,Public,Associate's,17,36657,29263.0,10975,21950,4181.0,7394.0,5.249940205692418,2.9686232080064916,112,112,0
122384,11820,San Diego Miramar College,San Diego,San Diego,San Diego,Public,Associate's,73,48224,25957.0,-2735,-5470,15748.0,22267.0,-0.3473456946913894,-0.24565500516459335,1,1,0
122375,1275,San Diego Mesa College,San Diego,San Diego,San Diego,Public,Associate's,73,45120,25957.0,-904,-1808,12644.0,19163.0,-0.14299272382157546,-0.09434848405781976,3,3,0
122339,1273,San Diego City College,San Diego,San Diego,San Diego,Public,Associate's,73,38503,25957.0,-818,-1636,6027.0,12546.0,-0.27144516343122616,-0.13040012753068708,2,2,0
115296,1208,Grossmont College,El Cajon,San Diego,San Diego,Public,Associate's,73,40309,25957.0,2755,5510,7833.0,14352.0,0.7034341886888804,0.38391861761426976,36,28,8
120971,1260,Palomar College,San Marcos,San Diego,San Diego,Public,Certificate,73,42300,25957.0,5247,10494,9824.0,16343.0,1.068200325732899,0.6421097717677293,49,60,-11
118912,1239,MiraCosta College,Oceanside,San Diego,San Diego,Public,Certificate,73,43845,25957.0,7178,14356,11369.0,17888.0,1.2627319905004837,0.8025491949910555,59,65,-6
123800,1294,Southwestern College,Chula Vista,San Diego,San Diego,Public,Associate's,73,40060,25957.0,10893,21786,7584.0,14103.0,2.872626582278481,1.5447777068708786,97,94,3
113218,21113,Cuyamaca College,El Cajon,San Diego,San Diego,Public,Associate's,73,32435,25957.0,6187,12374,-41.0,6478.0,,1.9101574560049397,119,104,15
123217,1186,College of the Sequoias,Visalia,Tulare,San Joaquin Valley,Public,Associate's,107,39092,20000.0,29,58,6616.0,19092.0,0.008766626360338573,0.0030379216425728056,6,6,0
117052,1308,Reedley College,Reedley,Fresno,San Joaquin Valley,Public,Certificate,19,38493,20058.0,1584,3168,6017.0,18435.0,0.526508226691042,0.17184703010577707,23,14,9
114789,1307,Fresno City College,Fresno,Fresno,San Joaquin Valley,Public,Associate's,19,37361,20058.0,1699,3398,4885.0,17303.0,0.6955987717502559,0.19638213026642778,33,16,17
124113,1309,Taft College,Taft,Kern,San Joaquin Valley,Public,Associate's,29,38861,21000.0,2699,5398,6385.0,17861.0,0.8454189506656226,0.3022227198925032,42,22,20
122658,1280,San Joaquin Delta College,Stockton,San Joaquin,San Joaquin Valley,Public,Associate's,77,43212,29497.0,8508,17016,10736.0,13715.0,1.5849478390461997,1.2406853809697411,65,86,-21
118718,1237,Merced College,Merced,Merced,San Joaquin Valley,Public,Associate's,47,37815,22418.0,4260,8520,5339.0,15397.0,1.5958044577636261,0.553354549587582,66,49,17
121363,1268,Porterville College,Porterville,Tulare,San Joaquin Valley,Public,Associate's,107,36328,20000.0,3728,7456,3852.0,16328.0,1.9356178608515058,0.4566389024987751,79,37,42
109819,1118,Bakersfield College,Bakersfield,Kern,San Joaquin Valley,Public,Associate's,29,37291,21000.0,4751,9502,4815.0,16291.0,1.973416407061267,0.5832668344484685,80,52,28
448594,41113,Lemoore College,Lemoore,Kings,San Joaquin Valley,Public,Associate's,31,40292,15000.0,7961,15922,7816.0,25292.0,2.037103377686796,0.6295271232010122,82,57,25
118976,1240,Modesto Junior College,Modesto,Stanislaus,San Joaquin Valley,Public,Associate's,99,42368,26240.0,10176,20352,9892.0,16128.0,2.0574201374848364,1.2619047619047619,85,87,-2
125462,1176,Coalinga College,Coalinga,Fresno,San Joaquin Valley,Public,Associate's,19,37633,20058.0,8626,17252,5157.0,17575.0,3.3453558270312196,0.9816216216216216,102,70,32
111896,10111,Cerro Coso Community College,Ridgecrest,Kern,San Joaquin Valley,Public,Associate's,29,34963,21000.0,6078,12156,2487.0,13963.0,4.887816646562123,0.8705865501683019,110,68,42
110246,8073,Butte College,Oroville,Butte,Upper Sacramento Valley,Public,Associate's,7,41810,15000.0,4632,9264,9334.0,26810.0,0.9925005356760231,0.34554270794479675,47,25,22
