UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM
126119,1344,Yuba College,Marysville,Yuba,Sacramento-Tahoe,5,1,Associate's,Public,"4,311","$39,552 ","$7,076 ","$3,573 ","$7,146 ",95901,39.126536,-121.53964,4837,5908
455512,41438,Woodland Community College,Woodland,Yolo,Sacramento-Tahoe,6,1.1,Associate's,Public,"2,949","$40,042 ","$7,566 ","$4,097 ","$8,194 ",95776,38.660392,-121.73533,3556,4502
109208,1232,American River College,Sacramento,Sacramento,Sacramento-Tahoe,7,1.2,Associate's,Public,"25,758","$40,162 ","$7,686 ","$4,628 ","$9,256 ",95841-4286,38.65085,-121.349672,23916,30026
123493,9509,Charles A Jones Career and Education Center,Sacramento,Sacramento,Sacramento-Tahoe,8,3.7,Certificate,Public,90,"$41,047 ","$8,571 ","$15,980 ","$31,960 ",95824-1529,38.516233,-121.440796,,
117195,12907,Lake Tahoe Community College,South Lake Tahoe,El Dorado,Sacramento-Tahoe,9,5.2,Associate's,Public,"2,909","$36,657 ","$4,181 ","$10,975 ","$21,950 ",96150,38.926797,-119.972574,2441,5052
122384,11820,San Diego Miramar College,San Diego,San Diego,San Diego,1,0,Associate's,Public,"10,740","$48,224 ","$15,748 ","($2,735)","($5,470)",92126-2999,32.909757,-117.120261,12311,18000
122375,1275,San Diego Mesa College,San Diego,San Diego,San Diego,2,0,Associate's,Public,"15,899","$45,120 ","$12,644 ",($904),"($1,808)",92111-4998,32.803825,-117.169165,18043,24787
122339,1273,San Diego City College,San Diego,San Diego,San Diego,3,0,Associate's,Public,"10,584","$38,503 ","$6,027 ",($818),"($1,636)",92101-4787,32.717403,-117.152733,13712,17264
115296,1208,Grossmont College,El Cajon,San Diego,San Diego,4,0.7,Associate's,Public,"11,467","$40,309 ","$7,833 ","$2,755 ","$5,510 ",92020-1799,32.815246,-117.006277,11466,15585
120971,1260,Palomar College,San Marcos,San Diego,San Diego,5,1.1,Certificate,Public,"16,167","$42,300 ","$9,824 ","$5,247 ","$10,494 ",92069-1487,33.149483,-117.183978,11260,19866
118912,1239,MiraCosta College,Oceanside,San Diego,San Diego,6,1.3,Certificate,Public,"10,474","$43,845 ","$11,369 ","$7,178 ","$14,356 ",92056-3899,33.190483,-117.302606,9287,16300
123800,1294,Southwestern College,Chula Vista,San Diego,San Diego,7,2.9,Associate's,Public,"16,640","$40,060 ","$7,584 ","$10,893 ","$21,786 ",91910-7299,32.640281,-116.996803,16636,22553
113218,21113,Cuyamaca College,El Cajon,San Diego,San Diego,8,No Economic ROI,Associate's,Public,"6,788","$32,435 ",($41),"$6,187 ","$12,374 ",92019,32.744305,-116.942854,8125,10384
123217,1186,College of the Sequoias,Visalia,Tulare,San Joaquin Valley,1,0,Associate's,Public,"10,752","$39,092 ","$6,616 ",$29 ,$58 ,93277-2214,36.323877,-119.315182,12007,15131
117052,1308,Reedley College,Reedley,Fresno,San Joaquin Valley,2,0.5,Certificate,Public,"4,853","$38,493 ","$6,017 ","$1,584 ","$3,168 ",93654,36.605428,-119.458555,7333,9114
114789,1307,Fresno City College,Fresno,Fresno,San Joaquin Valley,3,0.7,Associate's,Public,"18,774","$37,361 ","$4,885 ","$1,699 ","$3,398 ",93741,36.768164,-119.796096,20035,23927
124113,1309,Taft College,Taft,Kern,San Joaquin Valley,4,0.8,Associate's,Public,"3,216","$38,861 ","$6,385 ","$2,699 ","$5,398 ",93268,35.149343,-119.459751,2324,2780
122658,1280,San Joaquin Delta College,Stockton,San Joaquin,San Joaquin Valley,5,1.6,Associate's,Public,"13,964","$43,212 ","$10,736 ","$8,508 ","$17,016 ",95207,37.995562,-121.317597,16268,20353
118718,1237,Merced College,Merced,Merced,San Joaquin Valley,6,1.6,Associate's,Public,"9,677","$37,815 ","$5,339 ","$4,260 ","$8,520 ",95348-2806,37.3353,-120.476464,9863,12644
121363,1268,Porterville College,Porterville,Tulare,San Joaquin Valley,7,1.9,Associate's,Public,"2,775","$36,328 ","$3,852 ","$3,728 ","$7,456 ",93257,36.049256,-119.014368,3970,4695
109819,1118,Bakersfield College,Bakersfield,Kern,San Joaquin Valley,8,2,Associate's,Public,"16,451","$37,291 ","$4,815 ","$4,751 ","$9,502 ",93305-1299,35.40911,-118.973753,24394,29744
448594,41113,Lemoore College,Lemoore,Kings,San Joaquin Valley,9,2,Associate's,Public,"3,223","$40,292 ","$7,816 ","$7,961 ","$15,922 ",93245,36.292431,-119.823866,3523,4135
118976,1240,Modesto Junior College,Modesto,Stanislaus,San Joaquin Valley,10,2.1,Associate's,Public,"14,714","$42,368 ","$9,892 ","$10,176 ","$20,352 ",95350-5800,37.651056,-121.009792,16121,21159
125462,1176,Coalinga College,Coalinga,Fresno,San Joaquin Valley,11,3.3,Associate's,Public,"2,177","$37,633 ","$5,157 ","$8,626 ","$17,252 ",93210,36.147891,-120.356747,2858,3345
111896,10111,Cerro Coso Community College,Ridgecrest,Kern,San Joaquin Valley,12,4.9,Associate's,Public,"3,496","$34,963 ","$2,487 ","$6,078 ","$12,156 ",93555-9571,35.567525,-117.66767,4528,6138
110246,8073,Butte College,Oroville,Butte,Upper Sacramento Valley,1,1,Associate's,Public,"8,384","$41,810 ","$9,334 ","$4,632 ","$9,264 ",95965-8399,39.649782,-121.644831,7883,10571
