UNITID,OPEID6,Institution,City,County,Region,Regional Rank,ROI: Years to Recoup Net Costs,Predominant Award,Sector,Undergraduate Degree-seeking students,Median Earnings 10 Years After Enrollment,Earnings Above High School Graduate,Annual Net Price,Total Net Price (Two Years),ZIP,Latitude,Longitude,VALUE,DENOM,COUNTYFIP,median_earnings_10yr,total_net_price,N_unweighted_x,weight_sum_x,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income,N_unweighted_y,weight_sum_y
123527,1272,San Bernardino Valley College,San Bernardino,San Bernardino,Inland Empire,7,2.3,Certificate,Public,11106,39676,"$7,200 ",8234,16468,92410-2798,34.086353,-117.313248,11733.0,15121.0,71,39676,16468,3595.0,103711.0,7200.0,15676.0,2.2872222222222223,1.05052309262567,84,72,12,24000.0,3595.0,103711.0
119216,1246,Mt San Jacinto Community College District,San Jacinto,Riverside,Inland Empire,8,2.4,Associate's,Public,14859,38319,"$5,843 ",7098,14196,92583-2399,33.806748,-116.971169,15585.0,22737.0,65,38319,14196,3993.0,109837.0,5843.0,12362.0,2.4295738490501453,1.1483578708946773,88,80,8,25957.0,3993.0,109837.0
449357,39993,Beaumont Adult School,Beaumont,Riverside,Inland Empire,9,3.3,Certificate,Public,101,50801,"$18,325 ",30407,60814,92223,33.951365,-116.964728,,,65,50801,60814,3993.0,109837.0,18325.0,24844.0,3.3186357435197817,2.447834487200129,95,110,-15,25957.0,3993.0,109837.0
113573,1182,College of the Desert,Palm Desert,Riverside,Inland Empire,10,3.6,Associate's,Public,8900,39020,"$6,544 ",11812,23624,92260,33.732108,-116.388271,9468.0,12265.0,65,39020,23624,3993.0,109837.0,6544.0,13063.0,3.6100244498777507,1.8084666615631937,98,101,-3,25957.0,3993.0,109837.0
120953,1259,Palo Verde College,Blythe,Riverside,Inland Empire,11,5.4,Associate's,Public,2909,36389,"$3,913 ",10543,21086,92225,33.661538,-114.651698,2927.0,3190.0,65,36389,21086,3993.0,109837.0,3913.0,10432.0,5.3887043189368775,2.0212806748466257,105,107,-2,25957.0,3993.0,109837.0
109907,1119,Barstow Community College,Barstow,San Bernardino,Inland Empire,12,9.4,Associate's,Public,2585,35104,"$2,628 ",12347,24694,92311,34.870285,-117.023412,3663.0,4741.0,71,35104,24694,3595.0,103711.0,2628.0,11104.0,9.396499238964992,2.223883285302594,108,109,-1,24000.0,3595.0,103711.0
395362,35424,Copper Mountain Community College,Joshua Tree,San Bernardino,Inland Empire,13,19.8,Associate's,Public,1090,33281,$805 ,7962,15924,92252,34.140464,-116.213939,1207.0,1398.0,71,33281,15924,3595.0,103711.0,805.0,9281.0,19.78136645962733,1.715763387565995,110,98,12,24000.0,3595.0,103711.0
111887,1161,Cerritos College,Norwalk,Los Angeles,Los Angeles,1,0.2,Certificate,Public,18710,41156,"$8,680 ",693,1386,90650-6298,33.886874,-118.097337,18313.0,25553.0,37,41156,1386,14123.0,330414.0,8680.0,17558.0,0.1596774193548387,0.07893837566921062,10,8,2,23598.0,14123.0,330414.0
111461,8903,College of the Canyons,Santa Clarita,Los Angeles,Los Angeles,2,0.3,Associate's,Public,15365,49022,"$16,546 ",2114,4228,91355-1899,34.403993,-118.568698,10415.0,17998.0,37,49022,4228,14123.0,330414.0,16546.0,25424.0,0.25553003747129216,0.16629955947136563,14,13,1,23598.0,14123.0,330414.0
119164,1245,Mt San Antonio College,Walnut,Los Angeles,Los Angeles,3,0.5,Associate's,Public,25311,46283,"$13,807 ",3107,6214,91789-1399,34.047764,-117.846629,24699.0,53032.0,37,46283,6214,14123.0,330414.0,13807.0,22685.0,0.45006156297530236,0.27392550143266475,21,20,1,23598.0,14123.0,330414.0
121044,1261,Pasadena City College,Pasadena,Los Angeles,Los Angeles,4,0.5,Associate's,Public,20624,43937,"$11,461 ",3123,6246,91106-2003,34.144552,-118.118196,20373.0,29067.0,37,43937,6246,14123.0,330414.0,11461.0,20339.0,0.5449786231567926,0.30709474408771326,24,23,1,23598.0,14123.0,330414.0
122977,1286,Santa Monica College,Santa Monica,Los Angeles,Los Angeles,5,0.7,Associate's,Public,21194,42193,"$9,717 ",3600,7200,90405-1628,34.017022,-118.469765,20045.0,32595.0,37,42193,7200,14123.0,330414.0,9717.0,18595.0,0.7409694350108058,0.38720086044635654,37,29,8,23598.0,14123.0,330414.0
112172,1166,Citrus College,Glendora,Los Angeles,Los Angeles,6,0.8,Certificate,Public,8126,42065,"$9,589 ",3800,7600,91741-1899,34.13537,-117.886469,8519.0,11777.0,37,42065,7600,14123.0,330414.0,9589.0,18467.0,0.7925748253206799,0.4115449179617696,39,32,7,23598.0,14123.0,330414.0
113980,1197,El Camino Community College District,Torrance,Los Angeles,Los Angeles,7,1.1,Associate's,Public,18994,41589,"$9,113 ",5170,10340,90506,33.885229,-118.329913,16262.0,24815.0,37,41589,10340,14123.0,330414.0,9113.0,17991.0,1.1346428179523758,0.5747318103496193,52,51,1,23598.0,14123.0,330414.0
383084,5655,Hacienda La Puente Adult Education,La Puente,Los Angeles,Los Angeles,8,1.2,Certificate,Public,496,39271,"$6,795 ",4211,8422,91746-0002,34.043301,-117.979139,,,37,39271,8422,14123.0,330414.0,6795.0,15673.0,1.23944076526858,0.537357238563134,56,48,8,23598.0,14123.0,330414.0
117645,1219,Long Beach City College,Long Beach,Los Angeles,Los Angeles,9,1.6,Certificate,Public,21899,38870,"$6,394 ",5001,10002,90808-1706,33.833593,-118.135633,22684.0,29298.0,37,38870,10002,14123.0,330414.0,6394.0,15272.0,1.56427901157335,0.6549240440020954,62,63,-1,23598.0,14123.0,330414.0
115001,1203,Glendale Community College,Glendale,Los Angeles,Los Angeles,10,1.6,Associate's,Public,9807,41540,"$9,064 ",7461,14922,91208-2894,34.16745,-118.227666,11601.0,19503.0,37,41540,14922,14123.0,330414.0,9064.0,17942.0,1.6462930273609886,0.8316798573180247,66,67,-1,23598.0,14123.0,330414.0
371690,5638,Downey Adult School,Downey,Los Angeles,Los Angeles,11,1.8,Certificate,Public,844,46851,"$14,375 ",13102,26204,90241,33.91965,-118.115727,,,37,46851,26204,14123.0,330414.0,14375.0,23253.0,1.8228869565217392,1.1269083559110653,71,79,-8,23598.0,14123.0,330414.0
117706,1226,Los Angeles Pierce College,Woodland Hills,Los Angeles,Los Angeles,12,1.9,Associate's,Public,13029,44521,"$12,045 ",11196,22392,91371-0002,34.183949,-118.575071,16235.0,22691.0,37,44521,22392,14123.0,330414.0,12045.0,20923.0,1.8590286425902864,1.0702098169478564,73,77,-4,23598.0,14123.0,330414.0
121886,1269,Rio Hondo College,Whittier,Los Angeles,Los Angeles,13,1.9,Associate's,Public,15365,44950,"$12,474 ",11903,23806,90601-1616,34.019821,-118.033506,17482.0,27039.0,37,44950,23806,14123.0,330414.0,12474.0,21352.0,1.9084495751162418,1.1149306856500563,75,78,-3,23598.0,14123.0,330414.0
117733,1228,Los Angeles Valley College,Valley Glen,Los Angeles,Los Angeles,14,2.0,Associate's,Public,12470,42678,"$10,202 ",10200,20400,91401-4096,34.175165,-118.421734,17357.0,21942.0,37,42678,20400,14123.0,330414.0,10202.0,19080.0,1.999607920015683,1.069182389937107,78,76,2,23598.0,14123.0,330414.0
113856,22260,East Los Angeles College,Monterey Park,Los Angeles,Los Angeles,15,2.1,Associate's,Public,24401,42006,"$9,530 ",9791,19582,91754-6099,34.040531,-118.148785,32724.0,46499.0,37,42006,19582,14123.0,330414.0,9530.0,18408.0,2.0547743966421828,1.0637766188613647,81,74,7,23598.0,14123.0,330414.0
125471,8596,West Los Angeles College,Culver City,Los Angeles,Los Angeles,16,2.4,Associate's,Public,7277,38537,"$6,061 ",7131,14262,90230-3519,34.004512,-118.386664,12065.0,14984.0,37,38537,14262,14123.0,330414.0,6061.0,14939.0,2.3530770499917506,0.9546823749916327,86,69,17,23598.0,14123.0,330414.0
117690,1224,Los Angeles Harbor College,Wilmington,Los Angeles,Los Angeles,17,2.6,Associate's,Public,6496,41133,"$8,657 ",11245,22490,90744-2397,33.785825,-118.283549,10533.0,13171.0,37,41133,22490,14123.0,330414.0,8657.0,17535.0,2.5978976550768165,1.2825777017393785,90,90,0,23598.0,14123.0,330414.0
117867,12550,Los Angeles Mission College,Sylmar,Los Angeles,Los Angeles,18,3.3,Associate's,Public,8031,39834,"$7,358 ",11972,23944,91342-3200,34.314668,-118.4195,12543.0,15520.0,37,39834,23944,14123.0,330414.0,7358.0,16236.0,3.254145148138081,1.4747474747474747,94,93,1,23598.0,14123.0,330414.0
117788,1223,Los Angeles City College,Los Angeles,Los Angeles,Los Angeles,19,4.1,Associate's,Public,10857,36190,"$3,714 ",7532,15064,90029,34.087301,-118.292169,16261.0,20743.0,37,36190,15064,14123.0,330414.0,3714.0,12592.0,4.056004308023694,1.196315120711563,100,84,16,23598.0,14123.0,330414.0
109350,1113,Antelope Valley Community College District,Lancaster,Los Angeles,Los Angeles,20,4.1,Associate's,Public,10905,36526,"$4,050 ",8263,16526,93536-5426,34.676207,-118.186166,12320.0,14010.0,37,36526,16526,14123.0,330414.0,4050.0,12928.0,4.080493827160494,1.2783106435643565,101,89,12,23598.0,14123.0,330414.0
372082,30296,Pomona Unified School District Adult and Career Education,Pomona,Los Angeles,Los Angeles,21,5.1,Certificate,Public,84,34849,"$2,373 ",6005,12010,91767,34.061736,-117.720478,,,37,34849,12010,14123.0,330414.0,2373.0,11251.0,5.06110408765276,1.0674606701626521,103,75,28,23598.0,14123.0,330414.0
117724,1227,Los Angeles Trade Technical College,Los Angeles,Los Angeles,Los Angeles,22,7.7,Certificate,Public,10165,35233,"$2,757 ",10658,21316,90015-4181,34.031907,-118.269447,12017.0,14572.0,37,35233,21316,14123.0,330414.0,2757.0,11635.0,7.731592310482409,1.8320584443489472,107,102,5,23598.0,14123.0,330414.0
