OPEID6,Institution,County,Sector,median_earnings_10yr,total_net_price,premium_statewide,premium_regional,roi_statewide_years,roi_regional_years,rank_statewide,rank_regional,rank_change,hs_median_income
1275,San Diego Mesa College,San Diego,Public,45120,904,20180.56,19163.0,0.04479558545451662,0.04717424202890988,7.0,6.0,-1.0,25957.0
1280,San Joaquin Delta College,San Joaquin,Public,43212,8508,18272.56,13715.0,0.46561620265578546,0.6203426904848706,76.0,100.0,24.0,29497.0
1282,San Jose City College,Santa Clara,Public,46215,16658,21275.56,12715.0,0.7829641146931032,1.31010617381046,115.0,159.0,44.0,33500.0
1284,Santa Ana College,Orange,Public,43552,3854,18612.56,15552.0,0.20706447689087368,0.24781378600823045,35.0,47.0,12.0,28000.0
1285,Santa Barbara City College,Santa Barbara,Public,47647,10029,22707.56,26409.0,0.44165907741738875,0.37975690105645804,71.0,67.0,-4.0,21238.0
1286,Santa Monica College,Los Angeles,Public,42193,3600,17253.56,18595.0,0.20865259111742734,0.19360043022317827,37.0,30.0,-7.0,23598.0
1287,Santa Rosa Junior College,Sonoma,Public,47224,5541,22284.56,17024.0,0.2486474940496918,0.3254816729323308,45.0,64.0,19.0,30200.0
1289,Shasta College,Shasta,Public,39269,3743,14329.560000000001,15671.0,0.2612082994872138,0.2388488290472848,49.0,43.0,-6.0,23598.0
1290,Sierra College,Placer,Public,45294,4462,20354.56,20294.0,0.2192137781411143,0.21986794126342762,39.0,37.0,-2.0,25000.0
1292,Solano Community College,Solano,Public,44170,3869,19230.56,13493.0,0.20119018894925575,0.28674127325279775,34.0,53.0,19.0,30677.0
1294,Southwestern College,San Diego,Public,40060,10893,15120.560000000001,14103.0,0.720409826091097,0.7723888534354393,110.0,111.0,1.0,25957.0
1307,Fresno City College,Fresno,Public,37361,1699,12421.560000000001,17303.0,0.1367783112588113,0.09819106513321389,20.0,15.0,-5.0,20058.0
1308,Reedley College,Fresno,Public,38493,1584,13553.560000000001,18435.0,0.11686966376361634,0.08592351505288853,17.0,13.0,-4.0,20058.0
1309,Taft College,Kern,Public,38861,2699,13921.560000000001,17861.0,0.19387195113191336,0.1511113599462516,31.0,23.0,-8.0,21000.0
1334,Ventura College,Ventura,Public,43430,2257,18490.56,15292.0,0.12206228475503175,0.14759351294794665,19.0,21.0,2.0,28138.0
1335,Victor Valley College,San Bernardino,Public,36119,3228,11179.560000000001,12119.0,0.28874123847450167,0.26635861044640646,54.0,49.0,-5.0,24000.0
